dxy_z,real_z,vix_z,risk_z,nom_z,do_ctx,mom,range_to_atr20,activity,vol_pct,spread_pts,news_lock,gap_pct,pct24h,sess_asia,sess_london,sess_newyork,sess_off,q_ok,q_degraded,q_poor,dxyZ_fresh,realZ_fresh,vixZ_fresh,risk_on_fresh,nominalZ_fresh,do_ctx_fresh,mom_fresh,target,_timestamp,_price_now
0.0,0.0,0.0,0.0,0.0,0.0,0.730523627075411,1.8073864280574048,0.004363539578664465,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:20:00,4321.71
0.0,0.0,0.0,0.0,0.0,0.0,-0.8561403508773281,1.8079637435103262,0.0012481345414317787,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:25:00,4320.33
0.0,0.0,0.0,0.0,0.0,0.0,1.0653061224493914,1.8089351344716587,0.006044535281597278,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:30:00,4318.01
0.0,0.0,0.0,0.0,0.0,0.0,0.3574468085106781,1.808311147123502,0.000757728105145603,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:35:00,4319.5
0.0,0.0,0.0,0.0,0.0,0.0,0.5567867036010995,1.892238169464237,0.0019236887831031767,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:40:00,4323.98
0.0,0.0,0.0,0.0,0.0,0.0,2.4422222222222922,1.8921375233857678,0.013147816712386946,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:45:00,4324.21
0.0,0.0,0.0,0.0,0.0,0.0,18.9389312977076,1.8880202324143145,0.018784621035311862,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:50:00,4333.64
0.0,0.0,0.0,0.0,0.0,0.0,2.5518824609733413,2.0496938843799044,0.03428090258730747,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T21:55:00,4333.33
0.0,0.0,0.0,0.0,0.0,0.0,5.262729124236487,2.083909189746977,0.021704706494924095,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:00:00,4341.36
0.0,0.0,0.0,0.0,0.0,0.0,2.86269644334167,2.2763890806978693,0.03820207398251994,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:05:00,4344.6
0.0,0.0,0.0,0.0,0.0,0.0,4.876790830946011,2.28849331841887,0.041214156020636855,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:10:00,4344.78
0.0,0.0,0.0,0.0,0.0,0.0,4.853873239436506,2.391714311371866,0.035815885355041155,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:15:00,4342.91
0.0,0.0,0.0,0.0,0.0,0.0,6.766990291262701,2.392044787221545,0.034660485782106974,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:20:00,4342.31
0.0,0.0,0.0,0.0,0.0,0.0,7.378752886836482,2.390503347441144,0.035482616325122875,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:25:00,4345.11
0.0,0.0,0.0,0.0,0.0,0.0,5.610820244328834,2.3902558013236472,0.03857133178267103,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:30:00,4345.56
0.0,0.0,0.0,0.0,0.0,0.0,12.126923076922301,2.39116372116365,0.040373199616277604,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:35:00,4343.91
0.0,0.0,0.0,0.0,0.0,0.0,11.803680981594958,2.3870862471933845,0.03780116572935196,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:40:00,4351.33
0.0,0.0,0.0,0.0,0.0,0.0,5.926530612244835,2.4114096483905505,0.04177575722558183,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:45:00,4360.52
0.0,0.0,0.0,0.0,0.0,0.0,3.294163424124471,2.7102353534890042,0.05275742589346202,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:50:00,4359.4
0.0,0.0,0.0,0.0,0.0,0.0,9.156316916488555,2.7084398332068624,0.04840647311745469,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T22:55:00,4362.29
0.0,0.0,0.0,0.0,0.0,0.0,7.1996587030722745,2.707440592130884,0.04923937169052289,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:00:00,4363.9
0.0,0.0,0.0,0.0,0.0,0.0,9.041237113401866,2.698330499658589,0.0528624782968625,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:05:00,4364.18
0.0,0.0,0.0,0.0,0.0,0.0,17.36666666666775,2.694669012908147,0.05602647201619325,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:10:00,4370.11
0.0,0.0,0.0,0.0,0.0,0.0,8.23460410557244,2.810318900463001,0.06136185459133076,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:15:00,4375.66
0.0,0.0,0.0,0.0,0.0,0.0,6.1485642946317105,2.9280417448887937,0.06258729583972586,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:20:00,4373.23
0.0,0.0,0.0,0.0,0.0,0.0,7.283783783784215,2.842852961086015,0.05938447200240061,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:25:00,4372.72
0.0,0.0,0.0,0.0,0.0,0.0,7.346358792184809,2.8340571428571377,0.047293083778302575,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:30:00,4375.0
0.0,0.0,0.0,0.0,0.0,0.0,7.782688766114116,2.7815677428643912,0.050413862661493065,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:35:00,4375.59
0.0,0.0,0.0,0.0,0.0,0.0,8.548148148148199,2.7075078039661875,0.04137059315799532,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:40:00,4375.98
0.0,0.0,0.0,0.0,0.0,0.0,5.892631578947594,2.7096068920250826,0.0379117559217387,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:45:00,4372.59
0.0,0.0,0.0,0.0,0.0,0.0,3.869631901840434,2.7112066105111783,0.03361641720943519,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:50:00,4370.01
0.0,0.0,0.0,0.0,0.0,0.0,11.872586872587208,2.692939094488363,0.032776218400140306,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-16T23:55:00,4373.66
0.0,0.0,0.0,0.0,0.0,0.0,8.24403183023823,2.612847242070806,0.0378993477502931,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:00:00,4373.39
0.0,0.0,0.0,0.0,0.0,0.0,4.728855721393239,2.623467704585531,0.03418065683235456,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:05:00,4383.13
0.0,0.0,0.0,0.0,0.0,0.0,3.250000000000001,2.7204360315506144,0.045357186264805754,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T00:10:00,4410.69
0.0,0.0,0.0,0.0,0.0,0.0,0.22379582503503842,11.837616377259613,0.08044898650086438,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2025-10-17T00:15:00,4434.93
